hypothesis_hash,name,theme,T,sr_per_bar,gamma3,gamma4,trades,var_sr_null,n_star,z_pass,er_B,sr_star_B,deflated_z_B,psr_B,dsr_statistic_B,pass_B,er_A,sr_star_A,deflated_z_A,psr_A,dsr_statistic_A,pass_A,g4_high_flag,provisional_flag,r21_indeterminate_flag,mertens_degenerate_flag,failure_reason,non_authoritative,monday_flag
2b1ca44778281d97,monday_morning_reversal_long,calendar_effect,2358,0.029138018156107715,10.675291758404006,235.87774359647074,2,0.00042426813746287653,18,1.644853626951472,1.8538732029936469,0.03818565422649062,-0.5110368809956762,0.3046626159884777,-2.155890507947148,False,2.4043176819614187,0.04952358311547956,-1.1514361821287589,0.12477641785713867,-2.796289809080231,False,True,False,False,False,,True,True
2c5e3cc08d407b73,monday_mean_reversion,calendar_effect,2359,0.008579679346627372,2.504302381849152,89.3922979937753,8,0.00042408821034775233,18,1.644853626951472,1.8538732029936469,0.0381775563249625,-1.4517381278559298,0.07328721671679206,-3.0965917548074016,False,2.4043176819614187,0.049513080818019625,-2.007731151202209,0.022335934241938082,-3.652584778153681,False,True,False,False,False,,True,True
34588c948b1ff12b,weekend_vol_compression_monday_breakout_160,calendar_effect,2491,0.0027240432961615755,2.9394462656386686,80.97851142191428,9,0.00040160642570281126,18,1.644853626951472,1.8538732029936469,0.03715184219693113,-1.7247342630734992,0.04228768665694613,-3.369587890024971,False,2.4043176819614187,0.04818281582973395,-2.277354494020942,0.011382532604273033,-3.922208120972414,False,True,False,False,False,,True,True
35dcfcfbee4cfafc,volume_divergence_momentum_174,volume_divergence,2477,-0.06693413464286502,-2.5616339216286628,35.64610238460489,7,0.0004038772213247173,18,1.644853626951472,1.8538732029936469,0.03725672762255599,-5.566845336344062,1.2969621644498494e-08,-7.211698963295534,False,2.4043176819614187,0.048318843408644244,-6.157886492304637,3.686108105676451e-10,-7.802740119256109,False,False,False,False,False,,True,False
38a1bb228f103c26,volatility_compression_breakout_ema_cross,volatility_regime,2491,0.01034103104939891,1.7418833030045977,76.62894452915886,6,0.00040160642570281126,18,1.644853626951472,1.8538732029936469,0.03715184219693113,-1.3486836389560068,0.08871930144318646,-2.993537265907479,False,2.4043176819614187,0.04818281582973395,-1.9035826898817987,0.028482277499865323,-3.5484363168332704,False,True,False,False,False,,True,False
3a2559fbeff71f94,monday_morning_dip_buy,calendar_effect,2502,0.019715978181460342,-1.4831321228171088,106.64958539461811,10,0.00039984006397441024,18,1.644853626951472,1.8538732029936469,0.03707005079096752,-0.8512247644606395,0.1973222543581683,-2.4960783914121114,False,2.4043176819614187,0.04807673925272036,-1.3911075922076226,0.08209640148489011,-3.035961219159095,False,True,False,False,False,,True,True
3b013ac903ab047b,monday_dip_buy_momentum,calendar_effect,2358,-0.00416511546086553,-4.682088099831938,357.4882844744298,2,0.00042426813746287653,18,1.644853626951472,1.8538732029936469,0.03818565422649062,-2.0747963616345086,0.019002705969509745,-3.7196499885859806,False,2.4043176819614187,0.04952358311547956,-2.630250106182819,0.0042661035807050815,-4.275103733134291,False,True,False,False,False,,True,True
3c3ba9b95d2ea37c,monday_morning_momentum_fade,calendar_effect,2492,-0.0024537685354440336,-0.6836372459265421,86.95005786743293,3,0.0004014452027298274,18,1.644853626951472,1.8538732029936469,0.03714438423395386,-1.9778721679671167,0.023971564728995705,-3.6227257949185887,False,2.4043176819614187,0.04817314347877235,-2.5287432170427784,0.005723587155887032,-4.17359684399425,False,True,False,False,False,,True,True
3d3938aed6376f04,monday_opening_momentum_capture,calendar_effect,2358,-0.010222186696581542,5.8198860530176235,317.3404899907894,10,0.00042426813746287653,18,1.644853626951472,1.8538732029936469,0.03818565422649062,-2.274361693857535,0.011472124308806545,-3.919215320809007,False,2.4043176819614187,0.04952358311547956,-2.807055378621872,0.002499832290022168,-4.451909005573344,False,True,False,False,False,,True,True
406d4f4dfb4d46de,monday_morning_reversal,calendar_effect,2359,-0.012605731573811936,-3.969163007858182,106.85496014895521,8,0.00042408821034775233,18,1.644853626951472,1.8538732029936469,0.0381775563249625,-2.524524608624786,0.00579274466115129,-4.169378235576258,False,2.4043176819614187,0.049513080818019625,-3.08803303272354,0.0010074303665843834,-4.732886659675012,False,True,False,False,False,,True,True
41d3b759a1004c97,monday_morning_momentum_200,calendar_effect,2358,0.034528439181374763,10.927963462223813,257.2660220805337,5,0.00042426813746287653,18,1.644853626951472,1.8538732029936469,0.03818565422649062,-0.2123608669372996,0.4159127565733164,-1.8572144938887716,False,2.4043176819614187,0.04952358311547956,-0.8707122021574228,0.1919556571247774,-2.515565829108895,False,True,False,False,False,,True,True
4ce6e78ff9cff9b9,monday_opening_momentum_fade,calendar_effect,2503,0.0009045526182818852,0.7467181392466834,69.70700422763144,5,0.0003996802557953637,18,1.644853626951472,1.8538732029936469,0.03706264196691212,-1.8092258869753501,0.03520795874029256,-3.454079513926822,False,2.4043176819614187,0.04806713063080913,-2.359852485955295,0.009141101621258096,-4.004706112906767,False,True,False,False,False,,True,True
52b04f27b7ee565b,monday_open_dip_buying,calendar_effect,2359,0.003822704033384786,-2.254911808352839,141.93893621366743,6,0.00042408821034775233,18,1.644853626951472,1.8538732029936469,0.0381775563249625,-1.6606778980302321,0.04838907732247919,-3.305531524981704,False,2.4043176819614187,0.049513080818019625,-2.208625385285629,0.013600354080597262,-3.8534790122371008,False,True,False,False,False,,True,True
5b4d89be0ccb9be1,monday_dip_reversal,calendar_effect,2491,0.01156869317791199,4.216446898955152,281.60736986090205,1,0.00040160642570281126,18,1.644853626951472,1.8538732029936469,0.03715184219693113,-1.3025071912178812,0.09637153064133408,-2.9473608181693534,False,2.4043176819614187,0.04818281582973395,-1.8641238425604916,0.031152157507949606,-3.5089774695119633,False,True,False,False,False,,True,True
8a2a8f73f71a835e,monday_dip_buy_calendar_effect,calendar_effect,2503,-0.0015029544918194922,0.6230668852373278,20.302684759270182,10,0.0003996802557953637,18,1.644853626951472,1.8538732029936469,0.03706264196691212,-1.9281378941032385,0.026918988331628566,-3.5729915210547105,False,2.4043176819614187,0.04806713063080913,-2.4783218286573048,0.006600101019472886,-4.123175455608777,False,False,False,False,False,,True,True
95d5cfc1c0a9579a,monday_mean_reversion_after_weekend_drift,calendar_effect,2358,-0.0017749489784706647,0.9526360192029808,35.99273601309658,9,0.00042426813746287653,18,1.644853626951472,1.8538732029936469,0.03818565422649062,-1.938380321018561,0.02628841975300705,-3.583233947970033,False,2.4043176819614187,0.04952358311547956,-2.4883524554931338,0.006416823808236772,-4.133206082444605,False,False,False,False,False,,True,True
bc5ea1beab19fcdd,monday_momentum_continuation,calendar_effect,2491,-0.009524098093107133,0.19475060687955925,49.987564454707815,24,0.00040160642570281126,18,1.644853626951472,1.8538732029936469,0.03715184219693113,-2.325678640464897,0.0100178503988721,-3.970532267416369,False,2.4043176819614187,0.04818281582973395,-2.8753086983047016,0.002018163277278149,-4.520162325256173,False,False,False,False,False,,True,True
c076cdad4ee7ca42,monday_volatility_fade_continuation,calendar_effect,2477,-0.0020281517097480244,0.45897593113365337,73.15257517642611,19,0.0004038772213247173,18,1.644853626951472,1.8538732029936469,0.03725672762255599,-1.9538112453779273,0.02536177194054358,-3.5986648723293992,False,2.4043176819614187,0.048318843408644244,-2.503979314820342,0.006140260684523054,-4.148832941771814,False,True,False,False,False,,True,True
d04e1b054fe4d69d,monday_mean_reversion,calendar_effect,2359,0.0171243106723512,-5.409756188992308,295.6763283825846,7,0.00042408821034775233,18,1.644853626951472,1.8538732029936469,0.0381775563249625,-0.9685038440498278,0.1663964000679225,-2.6133574710013,False,2.4043176819614187,0.049513080818019625,-1.4899673384201175,0.06811641203783525,-3.1348209653715893,False,True,False,False,False,,True,True
d3fe403c8b1c4130,monday_pre_europe_momentum_fade,calendar_effect,2503,0.013368152898523123,5.385174411971672,146.58779368999575,4,0.0003996802557953637,18,1.644853626951472,1.8538732029936469,0.03706264196691212,-1.2260211488724049,0.1100953582507283,-2.870874775823877,False,2.4043176819614187,0.04806713063080913,-1.7954251058652482,0.036292997711635695,-3.4402787328167204,False,True,False,False,False,,True,True
ec6a8a385c1a3e9a,monday_dip_buy_low_vol_regime,calendar_effect,2503,-0.00686122747424358,-0.22389613118234197,73.18311120103712,12,0.0003996802557953637,18,1.644853626951472,1.8538732029936469,0.03706264196691212,-2.197826495556687,0.013980736276845806,-3.842680122508159,False,2.4043176819614187,0.04806713063080913,-2.7484600591130057,0.0029937964714836464,-4.393313686064477,False,True,False,False,False,,True,True
