hypothesis_hash,name,theme,T,sr_per_bar,gamma3,gamma4,trades,var_sr_null,n_star,z_pass,er_B,sr_star_B,deflated_z_B,psr_B,dsr_statistic_B,pass_B,er_A,sr_star_A,deflated_z_A,psr_A,dsr_statistic_A,pass_A,g4_high_flag,provisional_flag,r21_indeterminate_flag,mertens_degenerate_flag,failure_reason
18d92ce5d0b40cc7,bollinger_zscore_reversion,mean_reversion,2479,-0.01593384703260254,1.1928598739066536,41.84742582608539,16,0.0004035512510088781,18,1.644853626951472,1.8538732029936469,0.037241689588594196,-2.618919772183681,0.004410434504519273,-4.263773399135153,False,2.4043176819614187,0.04829934034290173,-3.1635141859768496,0.000779383774297829,-4.808367812928322,False,False,False,False,False,
22864f01a49e3452,weekend_volatility_compression_breakout,calendar_effect,2502,0.007677919377586673,2.2437491105389173,127.44589685824072,9,0.00039984006397441024,18,1.644853626951472,1.8538732029936469,0.03707005079096752,-1.4813239019866136,0.06926014107484486,-3.1261775289380855,False,2.4043176819614187,0.04807673925272036,-2.0360462006455022,0.020872858115290577,-3.680899827596974,False,True,False,False,False,
2433a38b2f9a7211,volume_surge_breakout_divergence,volume_divergence,2491,0.011823775032865469,5.035948435584631,85.98453079195812,26,0.00040160642570281126,18,1.644853626951472,1.8538732029936469,0.03715184219693113,-1.3012110057008952,0.09659311956536332,-2.946064632652367,False,2.4043176819614187,0.04818281582973395,-1.867919242915447,0.030886664119741634,-3.512772869866919,False,True,False,True,False,
2cc19d1b5e2c9024,weekday_momentum_friday_fade,calendar_effect,2503,-0.015214379100332237,-4.9810083004064145,122.58296890572502,5,0.0003996802557953637,18,1.644853626951472,1.8538732029936469,0.03706264196691212,-2.7096964829955144,0.0033672401934945946,-4.354550109946986,False,2.4043176819614187,0.04806713063080913,-3.280096701312651,0.0005188575574814749,-4.9249503282641225,False,True,False,False,False,
3ebec90d7be309ab,volume_surge_low_momentum_divergence,volume_divergence,2478,0.0037610399535316008,-1.44123628799508,181.54702487812594,7,0.0004037141703673799,18,1.644853626951472,1.8538732029936469,0.037249206328924776,-1.6616618197712236,0.04829030027645359,-3.3065154467226954,False,2.4043176819614187,0.04830908892314894,-2.210446259981078,0.01353710314029969,-3.85529988693255,False,True,False,False,False,
4a3c8e2fe04d72c1,momentum_exhaustion_rsi_macd_reversal,momentum,2491,-0.0002174716959213668,1.3888556296616144,62.06205451496542,15,0.00040160642570281126,18,1.644853626951472,1.8538732029936469,0.03715184219693113,-1.8644428019974815,0.031129773444279793,-3.5092964289489537,False,2.4043176819614187,0.04818281582973395,-2.4148039739385307,0.007871840056255183,-4.059657600890002,False,True,False,False,False,
53e1b5030aefe836,triple_ema_momentum_convergence,momentum,2477,-0.03781257754279049,1.5168824685580382,63.94653813046431,19,0.0004038772213247173,18,1.644853626951472,1.8538732029936469,0.03725672762255599,-3.59463273560414,0.00016242474823903818,-5.239486362555612,False,2.4043176819614187,0.048318843408644244,-4.124333169651479,1.8590518590368978e-05,-5.76918679660295,False,True,False,False,False,
54ae22768a3f78e9,volume_divergence_reversal,volume_divergence,2478,-0.01821621787309978,-2.4368314335212613,157.30080370663444,6,0.0004037141703673799,18,1.644853626951472,1.8538732029936469,0.037249206328924776,-2.8049064388159604,0.0025165593580167944,-4.449760065767432,False,2.4043176819614187,0.04830908892314894,-3.3642086770553203,0.00038381738979067397,-5.009062304006792,False,True,False,False,False,
5fcf29ab42c5f8b6,volume_divergence_momentum_fade,volume_divergence,2503,-0.027142180599950837,-0.7724669140176709,38.76955141065289,30,0.0003996802557953637,18,1.644853626951472,1.8538732029936469,0.03706264196691212,-3.2342612865895943,0.0006097891244596329,-4.879114913541066,False,2.4043176819614187,0.04806713063080913,-3.7886026933786443,7.574848436602229e-05,-5.433456320330116,False,False,False,False,False,
7240602b60cd7271,triple_ema_momentum_surge,momentum,2477,-0.035265766108398114,-8.952470786120479,198.33368994821126,5,0.0004038772213247173,18,1.644853626951472,1.8538732029936469,0.03725672762255599,-4.179109507328302,1.4632637593147522e-05,-5.823963134279774,False,2.4043176819614187,0.048318843408644244,-4.816564052456224,7.302564825362996e-07,-6.461417679407695,False,True,False,False,False,
7abff29fc2f117a1,ema_crossover_momentum_acceleration,momentum,2491,0.03271539206953109,5.297372154624167,81.41813690628572,12,0.00040160642570281126,18,1.644853626951472,1.8538732029936469,0.03715184219693113,-0.24037152375467313,0.40502112594542306,-1.885225150706145,False,2.4043176819614187,0.04818281582973395,-0.8380412516838264,0.20100376787352442,-2.4828948786352982,False,True,False,True,False,
8def2951c72f0961,momentum_continuation_crossover_196,momentum,2477,0.0007436222225053513,0.9216446982128363,28.11093535361992,12,0.0004038772213247173,18,1.644853626951472,1.8538732029936469,0.03725672762255599,-1.817490504822385,0.03457102044861782,-3.462344131773857,False,2.4043176819614187,0.048318843408644244,-2.36812267330492,0.008939303389293194,-4.012976300256392,False,False,False,False,False,
9c90efe879157a5c,bollinger_extreme_zscore_reversal,mean_reversion,2479,-0.029389413366529938,1.0400735342584277,50.488468819249874,25,0.0004035512510088781,18,1.644853626951472,1.8538732029936469,0.037241689588594196,-3.2504944893035566,0.000576022505670165,-4.895348116255029,False,2.4043176819614187,0.04829934034290173,-3.789924744056016,7.53464661877534e-05,-5.4347783710074875,False,True,False,False,False,
aa8c55c16db41ea7,volume_surge_momentum_confirmation,volume_divergence,2503,0.0007460769573564701,1.3374332992420654,30.930001493275288,22,0.0003996802557953637,18,1.644853626951472,1.8538732029936469,0.03706264196691212,-1.8174576313546957,0.03457353506774605,-3.4623112583061677,False,2.4043176819614187,0.04806713063080913,-2.3681757925049416,0.00893801996142826,-4.013029419456414,False,False,False,False,False,
b10f4563366481b3,friday_close_weekend_positioning,calendar_effect,2503,-0.03750256377407023,-8.72426720984791,225.4680163734346,8,0.0003996802557953637,18,1.644853626951472,1.8538732029936469,0.03706264196691212,-4.301750264100542,8.472711905012503e-06,-5.946603891052014,False,2.4043176819614187,0.04806713063080913,-4.936611544851923,3.9745790163316154e-07,-6.581465171803394,False,True,False,False,False,
b24ca51d477c2e96,macd_rsi_momentum_alignment,momentum,2477,-0.0019102656591761837,10.394823778720825,351.9589454296847,9,0.0004038772213247173,18,1.644853626951472,1.8538732029936469,0.03725672762255599,-1.9295577429204065,0.02683082947112795,-3.5744113698718785,False,2.4043176819614187,0.048318843408644244,-2.47453169623339,0.006670549102098832,-4.119385323184861,False,True,False,False,False,
cfd24b8b72d6e429,volume_divergence_surge_entry,volume_divergence,2492,0.0021177014845376934,5.546230522639812,185.73601485992486,11,0.0004014452027298274,18,1.644853626951472,1.8538732029936469,0.03714438423395386,-1.7583523836072186,0.03934378486346782,-3.4032060105586908,False,2.4043176819614187,0.04817314347877235,-2.312000162504579,0.010388837178917138,-3.956853789456051,False,True,False,False,False,
dc7d6de5e71772ae,low_volatility_breakout_198,volatility_regime,2491,-0.012308496772650205,-0.5281150078646282,66.20984859697381,7,0.00040160642570281126,18,1.644853626951472,1.8538732029936469,0.03715184219693113,-2.473054806425688,0.006698179846523376,-4.11790843337716,False,2.4043176819614187,0.04818281582973395,-3.024611931396782,0.001244761664717583,-4.669465558348254,False,True,False,False,False,
